acc	subtype	type
2908	1	entrez
1634	1	entrez
10769	1	entrez
4660	1	entrez
2180	1	entrez
4811	1	entrez
4057	1	entrez
6422	1	entrez
23466	1	entrez
26064	1	entrez
5360	1	entrez
4599	1	entrez
1514	1	entrez
7450	1	entrez
25937	1	entrez
8522	1	entrez
27122	1	entrez
3910	1	entrez
10123	1	entrez
1674	1	entrez
4837	1	entrez
2633	1	entrez
5159	1	entrez
72	1	entrez
5176	1	entrez
4256	1	entrez
1277	1	entrez
3164	1	entrez
6695	1	entrez
5997	1	entrez
10409	1	entrez
1278	1	entrez
1545	1	entrez
1513	1	entrez
5118	1	entrez
28951	1	entrez
6515	1	entrez
9806	1	entrez
6840	1	entrez
5352	1	entrez
5054	1	entrez
3383	1	entrez
7456	1	entrez
467	1	entrez
558	1	entrez
2331	1	entrez
2308	1	entrez
4052	1	entrez
9452	1	entrez
2634	1	entrez
2200	1	entrez
2354	1	entrez
11346	1	entrez
1627	1	entrez
9123	1	entrez
5187	1	entrez
22918	1	entrez
140885	1	entrez
133	1	entrez
6279	1	entrez
287	1	entrez
2995	1	entrez
3554	1	entrez
8038	1	entrez
713	1	entrez
3059	1	entrez
5996	1	entrez
730	1	entrez
4017	1	entrez
22856	1	entrez
857	1	entrez
51363	1	entrez
7058	1	entrez
7040	1	entrez
10516	1	entrez
1436	1	entrez
5156	1	entrez
1612	1	entrez
604	1	entrez
4130	1	entrez
3434	1	entrez
7077	1	entrez
220	1	entrez
9770	1	entrez
6275	1	entrez
477	1	entrez
8905	1	entrez
2162	1	entrez
858	1	entrez
1289	1	entrez
9270	1	entrez
8835	1	entrez
348	1	entrez
9823	1	entrez
963	1	entrez
4237	1	entrez
5341	1	entrez
7162	1	entrez
1306	1	entrez
6252	1	entrez
10231	1	entrez
10404	1	entrez
19	1	entrez
687	1	entrez
2212	1	entrez
9638	1	entrez
4016	1	entrez
10272	1	entrez
9839	1	entrez
51704	1	entrez
9332	1	entrez
5320	1	entrez
7111	1	entrez
3162	1	entrez
6387	1	entrez
5577	1	entrez
5311	1	entrez
1687	1	entrez
1734	1	entrez
8324	1	entrez
5142	1	entrez
3708	1	entrez
2014	1	entrez
5937	1	entrez
6925	1	entrez
1519	1	entrez
6503	1	entrez
25802	1	entrez
644	1	entrez
23635	1	entrez
11080	1	entrez
6586	1	entrez
2983	1	entrez
10643	1	entrez
2615	1	entrez
8850	1	entrez
3489	1	entrez
3426	1	entrez
104	1	entrez
7412	1	entrez
6594	1	entrez
5293	1	entrez
2199	1	entrez
7056	1	entrez
9411	1	entrez
4283	1	entrez
6919	1	entrez
9435	1	entrez
1536	1	entrez
3109	1	entrez
4318	1	entrez
1264	1	entrez
2167	1	entrez
10681	1	entrez
2215	1	entrez
7857	1	entrez
1902	1	entrez
9781	1	entrez
4129	1	entrez
10810	1	entrez
6424	1	entrez
5920	1	entrez
10129	1	entrez
5090	1	entrez
7169	1	entrez
6604	1	entrez
6351	1	entrez
22795	1	entrez
2791	1	entrez
962	1	entrez
7305	1	entrez
5138	1	entrez
1294	1	entrez
8460	1	entrez
7280	1	entrez
23166	1	entrez
1036	1	entrez
11117	1	entrez
8936	1	entrez
241	1	entrez
864	1	entrez
1318	1	entrez
60489	1	entrez
9535	1	entrez
11010	1	entrez
5549	1	entrez
51454	1	entrez
2313	1	entrez
1910	1	entrez
5507	1	entrez
4015	1	entrez
1301	1	entrez
4501	1	entrez
5999	1	entrez
1307	1	entrez
6578	1	entrez
10278	1	entrez
2537	1	entrez
341	1	entrez
2247	1	entrez
55885	1	entrez
6518	1	entrez
4360	1	entrez
10964	1	entrez
8321	1	entrez
23641	1	entrez
2619	1	entrez
6567	1	entrez
1909	1	entrez
6622	1	entrez
7075	1	entrez
2596	1	entrez
2669	1	entrez
7122	1	entrez
5144	1	entrez
9844	1	entrez
4644	1	entrez
3627	1	entrez
22873	1	entrez
6402	1	entrez
1346	1	entrez
4327	1	entrez
9891	1	entrez
10752	1	entrez
6781	1	entrez
5218	1	entrez
6366	1	entrez
5336	1	entrez
1462	1	entrez
4929	1	entrez
54	1	entrez
1806	1	entrez
1043	1	entrez
22881	1	entrez
4033	1	entrez
1003	1	entrez
4053	1	entrez
8910	1	entrez
3669	1	entrez
10351	1	entrez
3437	1	entrez
4675	1	entrez
2123	1	entrez
7060	1	entrez
11326	1	entrez
9737	1	entrez
2009	1	entrez
89795	1	entrez
10875	1	entrez
2028	1	entrez
1890	1	entrez
3572	1	entrez
10630	1	entrez
7357	1	entrez
9938	1	entrez
8639	1	entrez
3587	1	entrez
10267	1	entrez
54440	1	entrez
7097	1	entrez
10791	1	entrez
6943	1	entrez
5350	1	entrez
10468	1	entrez
399	1	entrez
8406	1	entrez
4332	1	entrez
8082	1	entrez
4939	1	entrez
4600	1	entrez
9732	1	entrez
1326	1	entrez
8777	1	entrez
316	1	entrez
1230	1	entrez
9945	1	entrez
3908	1	entrez
2357	1	entrez
5742	1	entrez
70	1	entrez
10090	1	entrez
958	1	entrez
1439	1	entrez
4921	1	entrez
2737	1	entrez
3569	1	entrez
2099	1	entrez
5157	1	entrez
2219	1	entrez
10563	1	entrez
1959	1	entrez
10290	1	entrez
5450	1	entrez
3937	1	entrez
3560	1	entrez
974	1	entrez
3764	1	entrez
8564	1	entrez
4330	1	entrez
185	1	entrez
10234	1	entrez
1675	1	entrez
9201	1	entrez
3290	1	entrez
8434	1	entrez
744	1	entrez
2242	1	entrez
1880	1	entrez
3092	1	entrez
590	1	entrez
3212	1	entrez
11341	1	entrez
5328	1	entrez
9636	1	entrez
3001	1	entrez
10846	1	entrez
8418	1	entrez
862	1	entrez
5099	1	entrez
1380	1	entrez
5125	1	entrez
366	1	entrez
4920	1	entrez
2687	1	entrez
10125	1	entrez
10439	1	entrez
1359	1	entrez
7472	1	entrez
1511	1	entrez
27253	1	entrez
9734	1	entrez
2326	1	entrez
597	1	entrez
7177	1	entrez
952	1	entrez
8630	1	entrez
1311	1	entrez
22885	1	entrez
925	1	entrez
2252	1	entrez
3684	1	entrez
912	1	entrez
8839	1	entrez
4857	1	entrez
3575	1	entrez
25780	1	entrez
7220	1	entrez
4919	1	entrez
8685	1	entrez
914	1	entrez
9450	1	entrez
5587	1	entrez
7704	1	entrez
5368	1	entrez
3782	1	entrez
4958	1	entrez
5346	1	entrez
26040	1	entrez
2294	1	entrez
1300	1	entrez
6999	1	entrez
5396	1	entrez
10863	1	entrez
7130	1	entrez
443	1	entrez
6403	1	entrez
2042	1	entrez
1368	1	entrez
1842	1	entrez
1960	1	entrez
7168	1	entrez
54739	1	entrez
939	1	entrez
5806	1	entrez
395	1	entrez
6504	1	entrez
4223	1	entrez
6401	1	entrez
7941	1	entrez
8483	1	entrez
3428	1	entrez
1236	1	entrez
9021	1	entrez
4094	1	entrez
930	1	entrez
6357	1	entrez
10261	1	entrez
1833	1	entrez
9834	1	entrez
9079	1	entrez
948	1	entrez
9447	1	entrez
7432	1	entrez
30008	1	entrez
23643	1	entrez
9934	1	entrez
3357	1	entrez
608	1	entrez
3003	1	entrez
10462	1	entrez
7010	1	entrez
23136	1	entrez
22797	1	entrez
8840	1	entrez
28513	1	entrez
56253	1	entrez
9023	1	entrez
23266	1	entrez
729230	1	entrez
1234	1	entrez
1466	1	entrez
579	1	entrez
9194	1	entrez
3952	1	entrez
64499	1	entrez
3356	1	entrez
1009	1	entrez
9370	1	entrez
5737	1	entrez
3671	1	entrez
4286	1	entrez
5788	1	entrez
30835	1	entrez
3036	1	entrez
845	1	entrez
4050	1	entrez
6525	1	entrez
7292	1	entrez
4212	1	entrez
358	1	entrez
6262	1	entrez
9473	1	entrez
4616	1	entrez
30817	1	entrez
29909	1	entrez
953	1	entrez
10288	1	entrez
22981	1	entrez
11262	1	entrez
3824	1	entrez
11030	1	entrez
2318	1	entrez
5579	1	entrez
1805	1	entrez
3055	1	entrez
81553	1	entrez
81578	1	entrez
5740	1	entrez
54504	1	entrez
114876	1	entrez
25816	1	entrez
6482	1	entrez
2532	1	entrez
1827	1	entrez
5136	1	entrez
2268	1	entrez
7148	1	entrez
1831	1	entrez
11167	1	entrez
1191	1	entrez
7070	1	entrez
3936	1	entrez
3122	1	entrez
23705	1	entrez
8490	1	entrez
11170	1	entrez
80781	1	entrez
11151	1	entrez
4162	1	entrez
1490	1	entrez
7846	1	entrez
3853	1	entrez
8611	1	entrez
1292	1	entrez
2824	1	entrez
11067	1	entrez
84617	1	entrez
23208	1	entrez
4208	1	entrez
